combo_id,sexuality_content,sexuality_includes,sexual_activity_frequency,sexual_scene_duration,sexual_depiction_type,sexual_underage,suggestive_themes_description,dating_games_prominent,revealing_outfits_nudity_includes,revealing_outfits_frequency,revealing_outfits_erotic_context,revealing_outfits_out_of_place,nudity_includes,nudity_human_buttocks_frequency,nudity_nippleless_breasts_frequency,nudity_fantasy_breasts_frequency,nudity_human_breasts_with_nipples_frequency,nudity_genitalia_frequency,nudity_erotic_context,sexual_violence_presentation,summary,country,rating
139,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail']",,,,,,,,,,,,,,Suggestive references and innuendo | References to sexual activity without descriptive detail | References to sexual activity with descriptive detail,North America,Mature 17+
140,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'References to sexual activity without descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Suggestive references and innuendo | References to sexual activity without descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
141,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
142,Yes,Suggestive/Sexual Themes or References,,,,,"['Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail']",,,,,,,,,,,,,,Overtly sexual situations | References to sexual activity without descriptive detail | References to sexual activity with descriptive detail,North America,Mature 17+
143,Yes,Suggestive/Sexual Themes or References,,,,,"['Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Overtly sexual situations | References to sexual activity without descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
144,Yes,Suggestive/Sexual Themes or References,,,,,"['Overtly sexual situations or visually depicted innuendo', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Overtly sexual situations | References to sexual activity with descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
145,Yes,Suggestive/Sexual Themes or References,,,,,"['References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
146,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail']",,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
147,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Suggestive references and innuendo | Overtly sexual situations | References to sexual activity without descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
148,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'Overtly sexual situations or visually depicted innuendo', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Suggestive references and innuendo | Overtly sexual situations | References to sexual activity with descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
149,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Suggestive references and innuendo | References to sexual activity without descriptive detail | References to sexual activity with descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
150,Yes,Suggestive/Sexual Themes or References,,,,,"['Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Overtly sexual situations | References to sexual activity without descriptive detail | References to sexual activity with descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
151,Yes,Suggestive/Sexual Themes or References,,,,,"['Suggestive references and innuendo in text, dialogue, or heard', 'Overtly sexual situations or visually depicted innuendo', 'References to sexual activity without descriptive detail', 'References to sexual activity with descriptive detail', 'Sexual situations involving those who appear to be under 18']",,,,,,,,,,,,,,Suggestive references and innuendo | Overtly sexual situations | References to sexual activity without descriptive detail | References to sexual activity with descriptive detail | Sexual situations involving those who appear to be under 18,North America,Mature 17+
152,Yes,"Dating Games - Interactive dating, marriage, or other romantic relationships between game characters",,,,,,Yes,,,,,,,,,,,,,Prominently featured dating games,North America,Everyone 10+
153,Yes,"Dating Games - Interactive dating, marriage, or other romantic relationships between game characters",,,,,,No,,,,,,,,,,,,,Dating games,North America,Everyone
154,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Rarely,Yes,Yes,,,,,,,,,Revealing outfits (rarely) | Revealing outfits in erotic setting or context | Out-of-place revealing outfits,North America,Teen
155,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Rarely,Yes,No,,,,,,,,,Revealing outfits (rarely) | Revealing outfits in erotic setting or context,North America,Teen
156,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Rarely,No,Yes,,,,,,,,,Revealing outfits (rarely) | Out-of-place revealing outfits,North America,Everyone 10+
157,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Rarely,No,No,,,,,,,,,Revealing outfits (rarely),North America,Everyone
158,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Often,Yes,Yes,,,,,,,,,Revealing outfits (often) | Revealing outfits in erotic setting or context | Out-of-place revealing outfits,North America,Teen
159,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Often,Yes,No,,,,,,,,,Revealing outfits (often) | Revealing outfits in erotic setting or context,North America,Teen
160,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Often,No,Yes,,,,,,,,,Revealing outfits (often) | Out-of-place revealing outfits,North America,Teen
161,Yes,Nudity or Revealing Outfits,,,,,,,Revealing Outfits,Often,No,No,,,,,,,,,Revealing outfits (often),North America,Everyone
162,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Human Buttocks'],Rarely,,,,,Yes,,Human buttocks (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
163,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Human Buttocks'],Rarely,,,,,No,,Human buttocks (rarely),North America,Teen
164,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Human Buttocks'],Often,,,,,Yes,,Human buttocks (often) | Nudity in an erotic setting or context,North America,Mature 17+
165,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Human Buttocks'],Often,,,,,No,,Human buttocks (often),North America,Teen
166,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",,Rarely,,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
167,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",,Rarely,,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely)",North America,Teen
168,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",,Often,,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Nudity in an erotic setting or context",North America,Mature 17+
169,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",,Often,,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often)",North America,Teen
170,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Fantasy Creatures'],,,Rarely,,,Yes,,"Female fantasy creatures' breasts, e.g., harpies (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
171,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Fantasy Creatures'],,,Rarely,,,No,,"Female fantasy creatures' breasts, e.g., harpies (rarely)",North America,Teen
172,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Fantasy Creatures'],,,Often,,,Yes,,"Female fantasy creatures' breasts, e.g., harpies (often) | Nudity in an erotic setting or context",North America,Mature 17+
173,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Fantasy Creatures'],,,Often,,,No,,"Female fantasy creatures' breasts, e.g., harpies (often)",North America,Mature 17+
174,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Human Breasts with Nipples'],,,,Rarely,,Yes,,Female human breasts with nipples (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
175,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Human Breasts with Nipples'],,,,Rarely,,No,,Female human breasts with nipples (rarely),North America,Mature 17+
176,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Human Breasts with Nipples'],,,,Often,,Yes,,Female human breasts with nipples (often) | Nudity in an erotic setting or context,North America,Mature 17+
177,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Female Human Breasts with Nipples'],,,,Often,,No,,Female human breasts with nipples (often),North America,Mature 17+
178,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Genitalia'],,,,,Rarely,Yes,,Genitalia (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
179,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Genitalia'],,,,,Rarely,No,,Genitalia (rarely),North America,Mature 17+
180,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Genitalia'],,,,,Often,Yes,,Genitalia (often) | Nudity in an erotic setting or context,North America,Adults only 18+
181,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,['Genitalia'],,,,,Often,No,,Genitalia (often),North America,Adults only 18+
182,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Rarely,Rarely,,,,Yes,,"Human buttocks (rarely) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
183,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Rarely,Rarely,,,,No,,"Human buttocks (rarely) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely)",North America,Teen
184,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Rarely,Often,,,,Yes,,"Human buttocks (rarely) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Nudity in an erotic setting or context",North America,Mature 17+
185,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Rarely,Often,,,,No,,"Human buttocks (rarely) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often)",North America,Teen
186,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Often,Rarely,,,,Yes,,"Human buttocks (often) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
187,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Often,Rarely,,,,No,,"Human buttocks (often) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely)",North America,Teen
188,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Often,Often,,,,Yes,,"Human buttocks (often) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Nudity in an erotic setting or context",North America,Mature 17+
189,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair']",Often,Often,,,,No,,"Human buttocks (often) | Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often)",North America,Teen
190,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Rarely,,Rarely,,,Yes,,"Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
191,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Rarely,,Rarely,,,No,,"Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely)",North America,Teen
192,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Rarely,,Often,,,Yes,,"Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (often) | Nudity in an erotic setting or context",North America,Mature 17+
193,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Rarely,,Often,,,No,,"Human buttocks (rarely) | Female fantasy creatures' breasts, e.g., harpies (often)",North America,Mature 17+
194,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Often,,Rarely,,,Yes,,"Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
195,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Often,,Rarely,,,No,,"Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (rarely)",North America,Teen
196,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Often,,Often,,,Yes,,"Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (often) | Nudity in an erotic setting or context",North America,Mature 17+
197,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Fantasy Creatures']",Often,,Often,,,No,,"Human buttocks (often) | Female fantasy creatures' breasts, e.g., harpies (often)",North America,Mature 17+
198,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Rarely,,,Rarely,,Yes,,Human buttocks (rarely) | Female human breasts with nipples (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
199,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Rarely,,,Rarely,,No,,Human buttocks (rarely) | Female human breasts with nipples (rarely),North America,Mature 17+
200,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Rarely,,,Often,,Yes,,Human buttocks (rarely) | Female human breasts with nipples (often) | Nudity in an erotic setting or context,North America,Mature 17+
201,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Rarely,,,Often,,No,,Human buttocks (rarely) | Female human breasts with nipples (often),North America,Mature 17+
202,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Often,,,Rarely,,Yes,,Game contains violence against humans,North America,Everyone 10+
203,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Often,,,Rarely,,No,,Game contains violence against humans,North America,Everyone 10+
204,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Often,,,Often,,Yes,,Human buttocks (often) | Female human breasts with nipples (often) | Nudity in an erotic setting or context,North America,Mature 17+
205,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Female Human Breasts with Nipples']",Often,,,Often,,No,,Human buttocks (often) | Female human breasts with nipples (often),North America,Mature 17+
206,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Rarely,,,,Rarely,Yes,,Human buttocks (rarely) | Genitalia (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
207,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Rarely,,,,Rarely,No,,Human buttocks (rarely) | Genitalia (rarely),North America,Mature 17+
208,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Rarely,,,,Often,Yes,,Human buttocks (rarely) | Genitalia (often) | Nudity in an erotic setting or context,North America,Adults only 18+
209,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Rarely,,,,Often,No,,Game contains violence against humans,North America,Teen
210,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Often,,,,Rarely,Yes,,Human buttocks (often) | Genitalia (rarely) | Nudity in an erotic setting or context,North America,Mature 17+
211,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Often,,,,Rarely,No,,Human buttocks (often) | Genitalia (rarely),North America,Mature 17+
212,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Often,,,,Often,Yes,,Human buttocks (often) | Genitalia (often) | Nudity in an erotic setting or context,North America,Adults only 18+
213,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Human Buttocks', 'Genitalia']",Often,,,,Often,No,,Human buttocks (often) | Genitalia (often),North America,Adults only 18+
214,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Rarely,Rarely,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
215,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Rarely,Rarely,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (rarely)",North America,Teen
216,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Rarely,Often,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (often) | Nudity in an erotic setting or context",North America,Mature 17+
217,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Rarely,Often,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female fantasy creatures' breasts, e.g., harpies (often)",North America,Mature 17+
218,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Often,Rarely,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female fantasy creatures' breasts, e.g., harpies (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
219,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Often,Rarely,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female fantasy creatures' breasts, e.g., harpies (rarely)",North America,Teen
220,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Often,Often,,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female fantasy creatures' breasts, e.g., harpies (often) | Nudity in an erotic setting or context",North America,Mature 17+
221,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Fantasy Creatures']",,Often,Often,,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female fantasy creatures' breasts, e.g., harpies (often)",North America,Mature 17+
222,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Rarely,,Rarely,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female human breasts with nipples (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
223,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Rarely,,Rarely,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female human breasts with nipples (rarely)",North America,Mature 17+
224,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Rarely,,Often,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female human breasts with nipples (often) | Nudity in an erotic setting or context",North America,Mature 17+
225,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Rarely,,Often,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Female human breasts with nipples (often)",North America,Mature 17+
226,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Often,,Rarely,,Yes,,Game contains violence against humans,North America,Teen
227,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Often,,Rarely,,No,,Game contains violence against humans,North America,Teen
228,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Often,,Often,,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female human breasts with nipples (often) | Nudity in an erotic setting or context",North America,Mature 17+
229,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Female Human Breasts with Nipples']",,Often,,Often,,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Female human breasts with nipples (often)",North America,Mature 17+
230,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Rarely,,,Rarely,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Genitalia (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
231,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Rarely,,,Rarely,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Genitalia (rarely)",North America,Mature 17+
232,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Rarely,,,Often,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Genitalia (often) | Nudity in an erotic setting or context",North America,Adults only 18+
233,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Rarely,,,Often,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (rarely) | Genitalia (often)",North America,Adults only 18+
234,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Often,,,Rarely,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Genitalia (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
235,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Often,,,Rarely,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Genitalia (rarely)",North America,Mature 17+
236,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Often,,,Often,Yes,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Genitalia (often) | Nudity in an erotic setting or context",North America,Adults only 18+
237,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Nipple-less Breasts or Breasts with Minimal Coverage, e.g., pasties, long hair', 'Genitalia']",,Often,,,Often,No,,"Nipple-less breasts or breasts with minimal coverage, e.g., pasties, long hair (often) | Genitalia (often)",North America,Adults only 18+
238,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Female Fantasy Creatures', 'Female Human Breasts with Nipples']",,,Rarely,Rarely,,Yes,,"Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely) | Nudity in an erotic setting or context",North America,Mature 17+
239,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Female Fantasy Creatures', 'Female Human Breasts with Nipples']",,,Rarely,Rarely,,No,,"Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (rarely)",North America,Mature 17+
240,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Female Fantasy Creatures', 'Female Human Breasts with Nipples']",,,Rarely,Often,,Yes,,"Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (often) | Nudity in an erotic setting or context",North America,Mature 17+
241,Yes,Nudity or Revealing Outfits,,,,,,,Nudity,,,,"['Female Fantasy Creatures', 'Female Human Breasts with Nipples']",,,Rarely,Often,,No,,"Female fantasy creatures' breasts, e.g., harpies (rarely) | Female human breasts with nipples (often)",North America,Mature 17+
