combo_id,sexuality_content,sexuality_includes,sexual_activity_frequency,sexual_scene_duration,sexual_depiction_type,sexual_underage,suggestive_themes_description,dating_games_prominent,revealing_outfits_nudity_includes,revealing_outfits_frequency,revealing_outfits_erotic_context,revealing_outfits_out_of_place,nudity_includes,nudity_human_buttocks_frequency,nudity_nippleless_breasts_frequency,nudity_fantasy_breasts_frequency,nudity_human_breasts_with_nipples_frequency,nudity_genitalia_frequency,nudity_erotic_context,sexual_violence_presentation,summary,country,rating
27,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Brief,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Partial Nudity - Breasts, Buttocks', 'Shown with Full Frontal Nudity']",Yes,,,,,,,,,,,,,,,"Rare sexual activity | Brief sexual activity | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Shown with partial nudity - breasts, buttocks | Shown with full frontal nudity | Features characters that appear to be younger than 18",North America,Adults only 18+
28,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Brief,"['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Partial Nudity - Breasts, Buttocks', 'Shown with Full Frontal Nudity']",No,,,,,,,,,,,,,,,"Rare sexual activity | Brief sexual activity | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Shown with partial nudity - breasts, buttocks | Shown with full frontal nudity",North America,Adults only 18+
29,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Brief,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown', 'Shown with Partial Nudity - Breasts, Buttocks', 'Shown with Full Frontal Nudity']",Yes,,,,,,,,,,,,,,,"Rare sexual activity | Brief sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Shown with partial nudity - breasts, buttocks | Shown with full frontal nudity | Features characters that appear to be younger than 18",North America,Adults only 18+
31,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view'],Yes,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Features characters that appear to be younger than 18,North America,Adults only 18+
32,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view'],No,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view,North America,Mature 17+
33,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown'],Yes,,,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
34,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown'],No,,,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone
35,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with Partial Nudity - Breasts, Buttocks']",Yes,,,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
36,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Shown with Partial Nudity - Breasts, Buttocks']",No,,,,,,,,,,,,,,,"Rare sexual activity | Prolonged sexual activity | Shown with partial nudity - breasts, buttocks",North America,Mature 17+
37,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Shown with Full Frontal Nudity'],Yes,,,,,,,,,,,,,,,Game contains violence against humans,North America,Everyone 10+
38,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,['Shown with Full Frontal Nudity'],No,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Shown with full frontal nudity,North America,Adults only 18+
39,Yes,Sexual Activity - Includes both moving and still images of sexual activity,Rarely,Prolonged,"['Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view', 'Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown']",Yes,,,,,,,,,,,,,,,Rare sexual activity | Prolonged sexual activity | Obscured/Innuendo - sex act is either entirely off-camera or completely blocked from view | Shown with no nudity - characters are depicted in sexual act but no nudity is shown | Features characters that appear to be younger than 18,North America,Adults only 18+
